es_code	es_name	gene_id	gene_id_type	confidence	evidence_source	functional_role	pathway_context	notes
2.3.3.2	Controlling disease	K16068	KO	0.85	literature:PMID:35438519	inhibitor	Cyanotoxin biosynthesis	mcyA microcystin synthetase; hepatotoxin production in freshwater; Yancey et al 2022
2.3.3.2	Controlling disease	K16069	KO	0.85	literature:PMID:35438519	inhibitor	Cyanotoxin biosynthesis	mcyB microcystin synthetase; structural variant determination
2.3.3.2	Controlling disease	K16070	KO	0.85	literature:PMID:39947845	inhibitor	Cyanotoxin biosynthesis	mcyE microcystin synthetase; key marker for MC-producing cyanobacteria; Jeon et al 2025
2.3.3.2	Controlling disease	K16071	KO	0.80	literature:PMID:35438519	inhibitor	Cyanotoxin biosynthesis	mcyD microcystin synthetase polyketide synthase
2.3.3.2	Controlling disease	K16072	KO	0.80	literature:PMID:35438519	inhibitor	Cyanotoxin biosynthesis	mcyG microcystin synthetase starter unit
2.3.3.2	Controlling disease	K21636	KO	0.80	literature:PMID:39772868	inhibitor	Cyanotoxin biosynthesis	cyrA cylindrospermopsin synthetase; freshwater cyanotoxin; Hart et al 2025
2.3.3.2	Controlling disease	K21637	KO	0.80	literature:PMID:39772868	inhibitor	Cyanotoxin biosynthesis	cyrB cylindrospermopsin amidinotransferase
2.3.3.2	Controlling disease	K21304	KO	0.80	literature:PMID:39772868	inhibitor	Cyanotoxin biosynthesis	sxtA saxitoxin synthetase; paralytic shellfish toxin producer
2.3.5.1	Controlling the chemical quality of freshwater	K20935	KO	0.85	kegg_decoder	producer	Anammox (NH4+NO2→N2)	hdh hydrazine dehydrogenase; terminal N2 production via anammox
2.3.5.1	Controlling the chemical quality of freshwater	K20933	KO	0.85	kegg_decoder	producer	Anammox (NH4+NO2→N2)	hzsB hydrazine synthase subunit B
2.3.5.1	Controlling the chemical quality of freshwater	K20934	KO	0.85	kegg_decoder	producer	Anammox (NH4+NO2→N2)	hzsC hydrazine synthase subunit C
2.3.5.1	Controlling the chemical quality of freshwater	K03385	KO	0.80	kegg_decoder	transformer	DNRA (NO3→NH4)	nrfA cytochrome c552 nitrite reductase; DNRA terminal enzyme
2.3.5.1	Controlling the chemical quality of freshwater	K15876	KO	0.80	kegg_decoder	transformer	DNRA (NO3→NH4)	nrfH cytochrome c nitrite reductase partner; DNRA electron donor
2.3.5.1	Controlling the chemical quality of freshwater	K10535	KO	0.80	kegg_decoder	transformer	Nitrification (NH3→NO3)	hao hydroxylamine oxidoreductase; nitrification intermediate
2.3.5.1	Controlling the chemical quality of freshwater	K02568	KO	0.80	kegg_decoder	producer	Denitrification (NO3→N2)	napB periplasmic nitrate reductase small subunit
2.3.5.1	Controlling the chemical quality of freshwater	K02305	KO	0.80	kegg_decoder	producer	Denitrification (NO3→N2)	norC nitric oxide reductase subunit C
2.3.6.1	Regulating our global climate	K15022	KO	0.75	kegg_decoder	producer	Wood-Ljungdahl pathway	mtrH methyl-H4MPT:CoM methyltransferase; CO2 fixation
2.3.6.1	Regulating our global climate	K15023	KO	0.75	kegg_decoder	producer	Wood-Ljungdahl pathway	mtrA methyl-H4MPT:CoM methyltransferase subunit A
2.3.6.1	Regulating our global climate	K16157	KO	0.85	kegg_decoder	producer	Methane oxidation (sMMO)	mmoX soluble methane monooxygenase alpha; CH4 → CH3OH
