es_code	es_name	gene_id	gene_id_type	confidence	evidence_source	functional_role	pathway_context	notes
2.1.1.1	Decomposing wastes or polluting substances	2OG-FeII_Oxy_3	Pfam	0.55	kegg_decoder+literature	producer	Fe(II)/2-oxoglutarate dioxygenase	2OG-Fe(II) oxygenase; diverse hydroxylation of xenobiotics; PhyH-related
2.1.1.1	Decomposing wastes or polluting substances	2OG-FeII_Oxy_5	Pfam	0.50	kegg_decoder+literature	producer	Fe(II)/2OG dioxygenase family 5	Diverse hydroxylation reactions on xenobiotic and natural substrates
2.1.1.1	Decomposing wastes or polluting substances	3HCDH	Pfam	0.50	kegg_decoder+literature	producer	3-hydroxyacyl-CoA dehydrogenase	Beta-oxidation step 3; fatty acid and xenobiotic acyl-chain degradation
2.1.1.1	Decomposing wastes or polluting substances	3HCDH_N	Pfam	0.50	kegg_decoder+literature	producer	3-hydroxyacyl-CoA DH N-terminal	Co-occurs with 3HCDH; beta-oxidation
2.1.1.1	Decomposing wastes or polluting substances	4HBT	Pfam	0.55	kegg_decoder+literature	producer	Aromatic CoA thioesterase	4-hydroxybenzoyl-CoA thioesterase; aromatic compound degradation via CoA intermediates
2.1.1.1	Decomposing wastes or polluting substances	ABM	Pfam	0.50	kegg_decoder+literature	producer	Antibiotic biosynthesis monooxygenase	FMN-dependent monooxygenase; diverse oxidations including xenobiotic hydroxylation
2.1.1.1	Decomposing wastes or polluting substances	ACAS_N	Pfam	0.45	kegg_decoder+literature	producer	AMP-binding N-terminal	Acyl-CoA synthetase N-terminal; fatty acid activation
2.1.1.1	Decomposing wastes or polluting substances	ADH_N	Pfam	0.55	kegg_decoder+literature	producer	Alcohol/aldehyde oxidation	GroES-like ADH domain; co-occurs with ADH_zinc_N
2.1.1.1	Decomposing wastes or polluting substances	ADH_zinc_N	Pfam	0.55	kegg_decoder+literature	producer	Alcohol/aldehyde oxidation	Zinc-binding alcohol dehydrogenase; oxidizes alcohols from xenobiotic degradation
2.1.1.1	Decomposing wastes or polluting substances	AMP-binding	Pfam	0.45	kegg_decoder+literature	producer	Fatty acid/xenobiotic activation	AMP-binding acyl-CoA synthetase; activates fatty acids and aromatic acids for degradation
2.1.1.1	Decomposing wastes or polluting substances	Abhydrolase_1	Pfam	0.55	kegg_decoder+literature	producer	Xenobiotic hydrolysis	Alpha/beta hydrolase fold; broad substrate: pesticides, lipids, epoxides
2.1.1.1	Decomposing wastes or polluting substances	Abhydrolase_3	Pfam	0.50	kegg_decoder+literature	producer	Alpha/beta hydrolase variant	Abhydrolase_3; lipase/esterase/epoxide hydrolase; xenobiotic hydrolysis
2.1.1.1	Decomposing wastes or polluting substances	Abhydrolase_6	Pfam	0.50	kegg_decoder+literature	producer	Alpha/beta hydrolase 6	Hydrolase variant; lipase/esterase; xenobiotic hydrolysis
2.1.1.1	Decomposing wastes or polluting substances	Acyl-CoA_dh_1	Pfam	0.55	kegg_decoder+literature	producer	Fatty acid/xenobiotic beta-oxidation	Acyl-CoA dehydrogenase middle domain
2.1.1.1	Decomposing wastes or polluting substances	Acyl-CoA_dh_M	Pfam	0.55	kegg_decoder+literature	producer	Fatty acid/xenobiotic beta-oxidation	Acyl-CoA dehydrogenase C-terminal
